titres_potions;liens;desc_globale;effects;Groupes_actions;difficulté;Propriété_chimique;Couleur;inventeur;ingredients;premiere_apparition;lien_image
Potion de Ratatinage;https://harrypotter.fandom.com/fr/wiki/Potion_de_Ratatinage;La potion de Ratatinage ou solution de Ratatinage (  angl.  Shrinking Solution ou Shrinking Potion ) est une potion magique qui permet de faire rétrécir les objets. Elle permet également d'inverser le processus de vieillissement. Si on commet une erreur durant la préparation, la potion devient...;['Fait rétrécir les objets', 'Inverse le processus de vieillissement'];Métamorphose;Débutant;Liquide;Vert;;['Poudre jaune', 'Rate de rat', 'Sangsue', 'Chenille', 'Jus de figue'];Harry Potter et le prisonnier d'Azkaban;https://static.wikia.nocookie.net/harrypotter/images/d/d0/Potion_de_Ratatinage.jpg/revision/latest/scale-to-width-down/350?cb=20170430122816&path-prefix=fr
Ratconfortant;https://harrypotter.fandom.com/fr/wiki/Ratconfortant;Le Ratconfortant (  angl.  rat tonic ) est un tonique pour les rats. Il est notamment vendu à la Ménagerie magique dans un flacon rouge. La vendeuse de la Ménagerie magique propose du Ratconfortant pour tonifier Croûtard qui n'est pas en forme. Alors que Ron Weasley s'apprête à payer le...;Tonifie les rats;Fortifiant;Débutant;Liquide;Rouge;;0;Harry Potter et le prisonnier d'Azkaban;https://static.wikia.nocookie.net/harrypotter/images/e/ee/Ratconfortant.png/revision/latest?cb=20131006133848&path-prefix=fr
Potion de régénération;https://harrypotter.fandom.com/fr/wiki/Potion_de_r%C3%A9g%C3%A9n%C3%A9ration;La potion de régénération est une potion de magie noire permettant aux sorciers ayant perdu leur corps de le retrouver. La préparation de la potion de régénération requiert un chaudron suffisamment grand pour qu'un homme adulte puisse s'y asseoir. La première étape consiste à y verser de l'eau...;Restaure le corps d'un sorcier qui en est privé;Soin;Avancé;Liquide;Blanc;;"[""Os d'un père"", ""Chair d'un serviteur"", ""Sang d'un ennemi""]";Harry Potter et la Coupe de Feu;https://static.wikia.nocookie.net/harrypotter/images/5/5d/Potion_de_r%C3%A9g%C3%A9n%C3%A9ration.png/revision/latest?cb=20150204145804&path-prefix=fr
Potion de Régénération sanguine;https://harrypotter.fandom.com/fr/wiki/Potion_de_R%C3%A9g%C3%A9n%C3%A9ration_sanguine;La potion de Régénération sanguine (  angl.  Blood-Replenishing Potion ) est une potion qui aide à reconstituer le sang. Elle est notamment utilisée par les guérisseurs de l'hôpital Ste Mangouste. Arthur Weasley doit prendre une potion de Régénération sanguine toutes les heures après avoir été...;Reconstitue le sang;Soin;Avancé;Liquide;Rouge;;0;Harry Potter et l'Ordre du Phénix;https://static.wikia.nocookie.net/harrypotter/images/5/50/Potion_de_R%C3%A9g%C3%A9n%C3%A9ration_sanguine.jpg/revision/latest?cb=20150204190509&path-prefix=fr
Remontant de Pomfresh;https://harrypotter.fandom.com/fr/wiki/Remontant_de_Pomfresh;Le remontant de Pomfresh (  angl.  Pomfrey's Pick-Me-Up ) est un tonique magique pour tonifier l'organisme après des dommages physiques mineurs.;Tonifie l'organisme;Fortifiant;Avancé;Liquide;Vert;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/1/1b/Le_remontant_de_Pomfresh.jpg/revision/latest?cb=20120404200014&path-prefix=fr
Remède à la dragoncelle;https://harrypotter.fandom.com/fr/wiki/Rem%C3%A8de_%C3%A0_la_dragoncelle;Le remède à la dragoncelle a été inventé par Gunhilda de Gorsemoor entre 1556 et 1639.;Guérit la dragoncelle;Soin;Intermédiaire;Liquide;Violet;Gunhilda de Gorsemoor;0;Harry Potter à l'école des sorciers (jeu);https://static.wikia.nocookie.net/harrypotter/images/c/c4/Rem%C3%A8de_%C3%A0_la_dragoncelle.jpg/revision/latest?cb=20160531163256&path-prefix=fr
Potion de restitution;https://harrypotter.fandom.com/fr/wiki/Potion_de_restitution;La potion de restitution (  angl.  Restoration Potion ) est une potion qui annule les effets d'un sortilège sur un objet ou une créature.;Annule les effets d'un sortilège;Antidote;Avancé;Liquide;Violet;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/3/35/Potion_de_Restauration.jpg/revision/latest?cb=20151125152947&path-prefix=fr
Philtre Revigorant;https://harrypotter.fandom.com/fr/wiki/Philtre_Revigorant;Le philtre Revigorant (  angl.  Invigoration Draught ) est une potion qui redonne des forces à son buveur. Le philtre Revigorant fait l'objet d'un cours pratique de potions. À la fin du cours, Harry va rendre sa potion au professeur Rogue en estimant l'avoir correctement réussie, mais le...;Revigore;Fortifiant;Intermédiaire;Liquide;Bleu;;['Cranson officinal', 'Livèche', 'Eau de miel', 'Infusion de verveine'];Harry Potter et l'Ordre du Phénix;https://static.wikia.nocookie.net/harrypotter/images/8/8d/Philtre_Revigorant.png/revision/latest?cb=20160519142435&path-prefix=fr
Poison sang-dragon;https://harrypotter.fandom.com/fr/wiki/Poison_sang-dragon;Le poison sang-dragon (  angl.  Bloodroot Poison ) est un poison vraisemblablement fait à partir de sang-dragon.;Poison;Poison;Intermédiaire;Liquide;Jaune;;['Sang-dragon'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/1/13/Poison_sang-dragon.jpg/revision/latest?cb=20151116202615&path-prefix=fr
Potion pour soins capillaires de Lockhart;https://harrypotter.fandom.com/fr/wiki/Potion_pour_soins_capillaires_de_Lockhart;La potion pour soins capillaires de Lockhart (  angl.  Lockhart's Hair-Care Potion ) est une potion qui garantie à son utilisateur des cheveux bouclés et étincelants. Malgré son efficacité incontestable, ce produit n'a jamais été lancé sur le marché car les ingrédients qui entrent dans sa...;Rend les cheveux bouclés et étincelants;Fortifiant;Avancé;Liquide;Inconnue;Gilderoy Lockhart;"[""Oeuf d'Occamy""]";Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/c/ca/Potions_pour_soins_capillaires_de_Lockhart.jpg/revision/latest?cb=20170702104236&path-prefix=fr
Goutte du sommeil;https://harrypotter.fandom.com/fr/wiki/Goutte_du_sommeil;La goutte du sommeil (  angl.  Drowsiness Draught ) est une potion qui a pour effet d'induire une somnolence menant jusqu'à l'endormissement. Ses vapeurs, d'un rose violacé, suffisent à faire sombrer une personne dans le sommeil. Dans le jeu Harry Potter : Secret à Poudlard, Penny Haywood et le...;Endort;Hallucinogène;Débutant;Fumant;Rose;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/3/38/Goutte_du_sommeil.jpg/revision/latest/scale-to-width-down/350?cb=20151117214445&path-prefix=fr
Potion pour un sommeil sans rêves;https://harrypotter.fandom.com/fr/wiki/Potion_pour_un_sommeil_sans_r%C3%AAves;Une potion pour un sommeil sans rêves (  angl.  Potion for Dreamless Sleep ) est une potion permettant de s'endormir. Madame Pomfresh donne une potion pour un sommeil sans rêves à Harry. Somnifère;Plonge dans un sommeil sans rêves;Hallucinogène;Intermédiaire;Liquide;Violet;;0;Harry Potter et la Coupe de Feu;https://static.wikia.nocookie.net/harrypotter/images/b/be/Potion_pour_un_sommeil_sans_r%C3%AAves.png/revision/latest?cb=20141104143714&path-prefix=fr
Somnifère;https://harrypotter.fandom.com/fr/wiki/Somnif%C3%A8re;Le Somnifère ou potion de Sommeil (  angl.  Sleeping Draught ) est une potion plongeant dans un sommeil temporaire. Ajouter quatre brins de lavande dans le mortier Ajouter deux mesures de l'Ingrédient Standard dans le mortier Écraser à l'aide du pilon pour obtenir une pâte crémeuse Ajouter deux...;Sommeil temporaire;Hallucinogène;Débutant;Liquide;Violet;;['Ingrédient standard', 'Mucus de Veracrasse', 'Brin de lavande', 'Valériane'];Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/5/56/Somnif%C3%A8re.png/revision/latest?cb=20120419132050&path-prefix=fr
Tolipan Blemish Blitzer;https://harrypotter.fandom.com/fr/wiki/Tolipan_Blemish_Blitzer;Tolipan Blemish Blitzer (  trad. approx.  effaceur de boutons Tolipan ) est une crème anti-boutons pour le visage. Selon l'étiquette du produit créé pour les films Harry Potter, le Tolipan Blemish Blitzer a été créé en 1907. Dans le film Harry Potter et l'Ordre du Phénix, en 1996, La Gazette du...;Soin du visage;Soin;Intermédiaire;Pateux;Blanc;;['Ingrédient naturel', 'Griffe de dragon'];Harry Potter et l'Ordre du Phénix (film);https://static.wikia.nocookie.net/harrypotter/images/0/0a/Tolipan_Blemish_Blitzer.png/revision/latest/scale-to-width-down/350?cb=20220423175806&path-prefix=fr
Potion contre la toux;https://harrypotter.fandom.com/fr/wiki/Potion_contre_la_toux;La potion contre la toux (  angl.  cough potion ) est une potion médicinale qui soigne la toux. L'un des services proposés par Weasley, Farces pour sorciers facétieux est d'envoyer des philtres d'amour à Poudlard en les faisant passer pour de la potion contre la toux. Dans la bibliothèque de...;Soigne la toux;Soin;Intermédiaire;Liquide;Inconnue;;0;Harry Potter et le Prince de Sang-Mêlé;
Potion Trismus;https://harrypotter.fandom.com/fr/wiki/Potion_Trismus;La potion Trismus (  angl.  Jawbind Potion ) est une potion qui contracte les muscles de la mâchoire du buveur.;Provoque un trismus;Contrôle-mental;Intermédiaire;Liquide;Bleu;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/3/3e/Potion_Trismus.jpg/revision/latest?cb=20151116153225&path-prefix=fr
Goutte de trompette des anges;https://harrypotter.fandom.com/fr/wiki/Goutte_de_trompette_des_anges;La goutte de trompette des anges (  angl.  Angel's Trumpet Draught ) est un poison vraisemblablement fait à partir de trompettes des anges.;Poison;Poison;Avancé;Liquide;Gris;;['Trompette des anges'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/1/1f/Philtre_de_la_Trompette_des_Anges.jpg/revision/latest?cb=20151111131709&path-prefix=fr
Potion Tue-loup;https://harrypotter.fandom.com/fr/wiki/Potion_Tue-loup;La potion Tue-loup (  angl.  Wolfsbane Potion ) permet de soulager les symptômes les plus terribles de ceux qui deviennent des loups-garous à la pleine lune. Elle porte le nom de Tue-loup, une plante qui entre dans sa composition. La potion Tue-loup est une invention récente de Damoclès, l'oncle...;Soulage les symptômes des loups-garous;Soin;Avancé;Liquide;Violet;Damoclès;['Tue-loup'];Harry Potter et le prisonnier d'Azkaban;https://static.wikia.nocookie.net/harrypotter/images/1/10/HP3-chapitre08.jpg/revision/latest?cb=20110903193746&path-prefix=fr
Veritaserum;https://harrypotter.fandom.com/fr/wiki/Veritaserum;Le Veritaserum est un puissant sérum de vérité, une potion qui provoque chez celui qui l'absorbe une incapacité à mentir. L'usage du Veritaserum est soumis à une réglementation du ministère de la Magie. La potion doit mûrir pendant un cycle complet de la lune et environ un mois est donc...;Provoque une incapacité à mentir;Contrôle-mental;Avancé;Liquide;Incolore;;0;Harry Potter et la Coupe de Feu;https://static.wikia.nocookie.net/harrypotter/images/d/d9/Veritaserum.jpg/revision/latest/scale-to-width-down/350?cb=20160518104211&path-prefix=fr
Sérum de vérité;https://harrypotter.fandom.com/fr/wiki/S%C3%A9rum_de_v%C3%A9rit%C3%A9;Le sérum de vérité (  angl.  Truth Serum ou Truth Potion ) est le nom générique de potions qui provoquent chez celui qui l'absorbe une incapacité à mentir. Le plus puissant sérum de vérité est le Veritaserum. Sérum de vérité sur Wikipédia (version française);Provoque une incapacité à mentir;Contrôle-mental;Avancé;Liquide;Incolore;;['Plume de Jobarbille'];Les Animaux fantastiques;
Potion vert émeraude;https://harrypotter.fandom.com/fr/wiki/Potion_vert_%C3%A9meraude;La potion vert émeraude (  angl.  Emerald Potion ) est un poison phosphorescent conçu pour ne pas pouvoir être bu jusqu'à la fin. La potion affaiblit celui qui la boit et semble lui donner des cauchemars, voire des hallucinations. Lord Voldemort utilise cette potion pour protéger l'un de ses...;['Affaiblit', 'Provoque des cauchemars et des hallucinations', 'Assoiffe'];Affaiblissant;Avancé;Liquide;Vert;Tom Jedusor;0;Harry Potter et le Prince de Sang-Mêlé;https://static.wikia.nocookie.net/harrypotter/images/9/96/Potion_vert_%C3%A9meraude_livre.jpg/revision/latest?cb=20151017183231&path-prefix=fr
Potion de vertige;https://harrypotter.fandom.com/fr/wiki/Potion_de_vertige;La potion de vertige (  angl.  Dizziness Draught ) est une potion qui provoque des vertiges.;Provoque des vertiges;Hallucinogène;Intermédiaire;Liquide;Inconnue;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/e/e8/Philtre_de_Vertige.jpg/revision/latest?cb=20151125194747&path-prefix=fr
Potion de Vieillissement;https://harrypotter.fandom.com/fr/wiki/Potion_de_Vieillissement;La potion de Vieillissement (  angl.  Ageing Potion ) est une potion, qui comme son nom l'indique, permet de devenir plus âgé. Plus la quantité de potion avalée est grande, plus le buveur vieilli. En 1994, Albus Dumbledore a tracé une Limite d'Âge autour de la Coupe de Feu afin que seuls les...;Permet de se rendre plus âgé;Métamorphose;Avancé;Liquide;Gris;;0;Harry Potter et la Coupe de Feu;https://static.wikia.nocookie.net/harrypotter/images/f/f5/Potion_de_Vieillissement_Pottermore.png/revision/latest?cb=20150309151042&path-prefix=fr
Potion Volubilis;https://harrypotter.fandom.com/fr/wiki/Potion_Volubilis;La potion Volubilis est un breuvage qui permet de restaurer le volume de la voix d'une personne et neutralise également les effets du sortilège de Mutisme. Dans un chaudron rempli d'eau et sur le feu : Chauffer jusqu'à ce que la potion devienne rouge. Chauffer jusqu'à ce que la potion devienne...;Restaure le volume de la voix;Antidote;Intermédiaire;Liquide;Jaune;;"['Menthe', 'Mandragore', ""Sirop d'ellébore"", 'Hydromel']";Harry Potter et le Prince de Sang-Mêlé (jeu);https://static.wikia.nocookie.net/harrypotter/images/5/5b/Potion_Volubilis.jpg/revision/latest/scale-to-width-down/350?cb=20170430122817&path-prefix=fr
Potion Wiggenweld;https://harrypotter.fandom.com/fr/wiki/Potion_Wiggenweld;La potion Wiggenweld (  angl.  Wiggenweld Potion ) est une potion qui soigne les blessures et restaure un peu la santé de la personne qui la boit. Elle permet également de neutraliser les effets d'une potion de sommeil et est un antidote à la Goutte du Mort vivant. Dans un chaudron rempli d'eau...;Neutralise les effets des somnifères;Antidote;Intermédiaire;Liquide;Vert;;"['Aconit', 'Menthe', 'Dictame', 'Sang de salamandre', 'Mucus de Veracrasse', 'Jus de Horglup', 'Épine de poisson-diable', 'Mandragore', 'Corne de licorne', 'Eau de miel', 'Crochet de Ciseburine', 'Écorce de sorbier', 'Dard de Billywig', ""Jus d'explobaies"", 'Moly', 'Mucus de cervelle de paresseux', 'Rosée de lune']";Harry Potter à l'école des sorciers (jeu);https://static.wikia.nocookie.net/harrypotter/images/e/e0/Potion_Wiggenweld_2.jpg/revision/latest/scale-to-width-down/350?cb=20170430201708&path-prefix=fr
